questionId,questionTitle,questionTags,questionBody,questionVotes,questionViewCount,questionCreationDate,favoriteCount,answerCount,questionCommentCount,Code
50707105,How do I resolve a dependency in a Class Library from the container configured in Startup?,<c#><unit-testing><asp.net-core><dependency-injection><mocking>,"<p>The objective is using IoC and being able to [mock dependencies] for unit testing.</p>

<p>The project: .NET Core Web API with multiple class libraries</p>

<p>I'm using Microsoft.Extensions.DependencyInjection for my IoC and I'd like to keep using it if it supports what I'm trying to accomplish.</p>

<p>The problem: At least one class in my assemblies (class libraries) has a dependency that needs to mocked (e.g. using Moq). I completely understand that I can use constructor injection to inject the interface but that doesn't fit the scenario. </p>

<p>What I'm simply trying to accomplish in my assembly is to resolve the dependency using the container that I initiated in my Startup class of the Web API. </p>

<p>How would I do that? And if that isn't possible, what may be another way to accomplish the same thing, i.e. mocking my printer without using dependency injection?</p>

<p>Below is some sample code which hopefully clarifies this a bit.</p>

<p>Web API's Startup.cs (has a reference to assembly which defines printer)</p>

<pre><code>public void ConfigureServices(IServiceCollection services)
{
    services.AddScoped&lt;IPrinter, Printer&gt;();
}
</code></pre>

<p>In a different assembly, I'd like to resolve an instance of Printer using the same container.</p>

<pre><code>    public interface IPrinter
    {
        void Print(string text);
    }

    public class Printer : IPrinter
    {
        public void Print(string text)
        {
            Console.WriteLine(""Printing: "" + text);
        }
    }


    public class Task
    {
        public void PrintSomething(string text)
        {
            //do not 'new up' but resolve it from the container of Startup.cs
            var printer = new Printer(); 
            printer.Print(text);
        }
    }
</code></pre>
",1,1569,2018-06-05 18:53,,1,5,how
37766792,Assert the tested class internal objects,<java><unit-testing><mocking><easymock><software-quality>,"<p>I am using Easy mock.</p>

<ol>
<li>I call a method of my actual class from my Test class.</li>
<li>Inside that method I create an object called 'A' on the fly with child objects.</li>
<li>I pass that object 'A' to a remote service and a output returns.</li>
</ol>

<p>I don't want to asset that returned output. (That is already taken care of)</p>

<p>I want assert and make sure that, my object created successfully and weather it contains the relevant child objects?
Can I access this object from my Test Class before or after it get passed to remote service.</p>

<p>Is this possible.</p>

<p>Thank you very much :)</p>
",0,215,2016-06-11 17:44,,1,0,what
74172501,AddRangeAsync xunit MockQueryable.Moq error,<c#><moq>,"<p>The actual result always return 0 while testing method <code>AddRangeAsync</code> by <code>MockQueryable.Moq</code>.Any ideas on this?
Thanks!</p>
<h3>Running on:</h3>
<ul>
<li>.net core 3.1</li>
<li>MockQueryable.Moq 5.02</li>
<li>xunit 2.4.0</li>
</ul>
<h3>Service</h3>
<pre class=""lang-cs prettyprint-override""><code>    public class ProductService : IProductService
    {
        private readonly MyDb _myDb;

        public ProductService(MyDb myDb)
        {
            _myDb = myDb;
        }

        public async Task AddRange()
        {
            var products = new Product[]
            {
                new Product { Id = 1, Count = 2, Name = &quot;Apple&quot;, Price = 24 },
                new Product { Id = 2, Count = 14, Name = &quot;Banana&quot;, Price = 13 },
            };
            await _myDb.Products.AddRangeAsync(products);
            await _myDb.SaveChangesAsync();
        }
    }
</code></pre>
<h3>Test Code</h3>
<pre class=""lang-cs prettyprint-override""><code>        [Fact]
        public async Task AddRangeTest()
        {
            var initProducts = new List&lt;Product&gt;();
            var mockProducts = initProducts.AsQueryable().BuildMockDbSet();
            mockProducts
                .Setup(x =&gt; x.AddRangeAsync(It.IsAny&lt;IEnumerable&lt;Product&gt;&gt;(), It.IsAny&lt;CancellationToken&gt;()))
                .Callback((IEnumerable&lt;Product&gt; products, CancellationToken _) =&gt; initProducts.AddRange(products));
            var mockDb = new Mock&lt;MyDb&gt;();
            mockDb.Setup(x =&gt; x.Products).Returns(mockProducts.Object);

            var productService = new ProductService(mockDb.Object);
            await productService.AddRange();
            // the actual always return 0
            Assert.Equal(2, mockDb.Object.Products.Count());
        }
</code></pre>
<h3>Result</h3>
<p>Message: 
Assert.Equal() Failure
Expected: 2
Actual:   0</p>
",1,381,2022-10-23 15:42,,2,1,why
57852142,How to mock android context using mockk library,<android><kotlin><junit><android-resources><mockk>,"<p>I am new in JUnit testing on Android and I'm testing a function, which is using android context object to get a string resources and making some comparsions. How can I mock android context object to successfully test this function? For testing I'm using Mockk testing library.</p>

<pre><code>  private val context = mockk&lt;Context&gt;()
  private val contextWrapper = ApplicationContextWrapper(context)
  private val objectUnderTest = AppLinkService(contextWrapper)
</code></pre>

<p>I was trying to mock context using <code>mockk&lt;Context&gt;()</code>, but I'm getting the following exception</p>

<pre><code>io.mockk.MockKException: no answer found for: Context(#1).getApplicationContext()
</code></pre>
",24,15163,2019-09-09 10:25,,2,0,how
20343591,How to implement BDD on very complex business rules?,<web-services><unit-testing><moq><bdd><mspec>,"<p>I am learning the art of Unit Testing and BDD and in my company there is no one who follows this approach. I try a lot to learn it by myself but get stuck somewhere and give up after trying for a few days. After some time I get inspiration again from someone and try to learn to swim in these waters again. </p>

<p>I have recently developed a Windows Service that started out small but ended up a big ball of messy business rules. Here is a brief overview of what the service does.</p>

<ol>
<li><p>Log to database “Service starting…”</p></li>
<li><p>Get Data From DB that needs to be posted to another web service</p></li>
<li><p>If there is no data to post Log to database “No data to process…”
and exit service</p></li>
<li><p>If data contains duplicate values Log to database “Duplicate data
found, this record will be skipped.”</p></li>
<li><p>Update the status of the record for which duplicate data was found
to something e.g. 302</p></li>
<li><p>If the data is null, Log to database “Record contains null value and cannot be processed.”</p></li>
<li><p>Update the status of the record appropriately e.g. 310</p></li>
<li><p>If the database is unavailable or down due to some reason, Log in a file “Database is down…”</p></li>
<li><p>If the service is down where we have to post the data log to database “Receiver service is down.”</p></li>
<li><p>Log to the database “Exiting service…”</p></li>
</ol>

<p>So my service basically retrieves some data from the Database, creates JSON request from it and post it to another service. </p>

<p>It also parses the response from that service and logs if the data was posted successfully or not. I have just entered some of the business rules that are currently implemented in the service to give you an idea of what lies under the hood. I am learning BDD and unit testing and would really love to know how an expert will write test cases that test these complex business rules?</p>

<p>From my understanding BDD does not need to focus internally on how the service is written, instead it will test scenarios that service should fulfill For example</p>

<p>When executing the windows service with duplicate data </p>

<ul>
<li>It should log to database “Duplicate data found, this record will be
skipped.”</li>
<li>It should update the status of the record to 302</li>
</ul>

<p><em>I can write multiple scenarios that test some functionality of the service. Is this the right approach or should I right very large sets of scenarios that test each business rule in every test?</em></p>

<p><em>Secondly as the service is communicating with the DB as well as a web service, how can I test the HttpRequest and HttpResponse that is sent and received by the service?</em></p>

<p><em>Finally how do I actually test something as complex as the business rules I have written above, If I simple assert that the service called some specific method of some class is that enough? How do we know that by simply calling some method it will perform the right task?</em></p>
",3,1033,2013-12-03 5:29,,1,0,how
73018146,jest: repeatedly mock navigator & test against userAgent/vendor,<typescript><unit-testing><jestjs><mocking><navigator>,"<p>Intent:</p>
<ul>
<li>want to cycle through different combinations of the userAgent</li>
<li>mock navigator</li>
<li>run test</li>
</ul>
<p>What is happening:</p>
<ul>
<li>I mock navigator.userAgent, mock happens as intended, first test runs as expected</li>
<li>2nd mock is run, but the test sees the userAgent value from the first mock</li>
</ul>
<p>function to test:</p>
<pre><code>export const isBrowseriOS = () =&gt; {
  console.log(navigator.userAgent, ' &amp; ', navigator.vendor);
  return (
    navigator.vendor === 'Apple Computer, Inc.' ||
    (/iPad|iPhone|iPod/.test(navigator.userAgent) &amp;&amp;
      !window.MSStream &amp;&amp;
      'ontouchend' in document)
  );
};
</code></pre>
<p>test file:</p>
<pre><code>import { isBrowseriOS } from './isIOS';

const browserDevices = [
  {
    name: 'iPhone 12 Pro',
    userAgent:
      'Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1',
    vendor: 'Apple Computer, Inc.',
    iOSDevice: true,
  },
   {
     name: 'Samsung SM-G955U',
     userAgent:
       'Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Mobile Safari/537.36',
     vendor: 'Google Inc.',
     iOSDevice: false,
   },
  
];

describe.each(browserDevices)('iOS test for $name', (device) =&gt; {
  beforeEach(() =&gt; {
    Object.defineProperty(window, 'navigator', {
      value: {
        userAgent: device.userAgent,
        vendor: device.vendor,
      },
    });
  });
  afterEach(() =&gt; jest.resetAllMocks());
  it(`returns ${device.iOSDevice}`, () =&gt; {
    expect(isBrowseriOS()).toBe(device.iOSDevice);
  });
});

</code></pre>
<p>result:
<a href=""https://i.sstatic.net/OiySk.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/OiySk.png"" alt=""enter image description here"" /></a></p>
",1,2976,2022-07-18 6:35,,1,1,what
76768119,Mocking .env variables with Vitest,<javascript><typescript><testing><mocking><vitest>,"<p>I want to mock env variables with Vitest. For now, I was able to do it this way:</p>
<pre><code>// test
beforeAll(() =&gt; {
  import.meta.env.HASHNODE_URL = 'https://blog.IgorKrpenja.com';
});

// tested function using an env variable
export const getCanonicalUrl = (slug: string): string =&gt; {
  return `${process.env.HASHNODE_URL}/${slug}`;
};
</code></pre>
<p>However, this a bit cumbersome as I would need to do this in <strong>every</strong> test suite for the same env variables.</p>
<p>I also tried using <code>setup files</code> this way but it didn't work:</p>
<pre><code>// vitest.config.ts
/// &lt;reference types=&quot;vitest&quot; /&gt;

import { defineConfig } from 'vitest/config';

export default defineConfig({
  test: {
    setupFiles: ['./test/env-mock.ts'],
  },
});
 
// test/env-mock.ts
beforeAll(() =&gt; {
  import.meta.env.HASHNODE_URL = 'https://blog.IgorKrpenja.com';
});

afterAll(() =&gt; {
  delete import.meta.env.HASHNODE_URL;
});
</code></pre>
<p>And could not get this to work with <code>globalSetup</code> either:</p>
<pre><code>// In same vitest.config.ts
globalSetup: './test/global-setup.ts',

// test/global-setup.ts
export function setup(): void {
  import.meta.env.HASHNODE_URL = 'https://blog.IgorKrpenja.com';
}

export function teardown(): void {}
</code></pre>
<p>Any ideas? This is with Typescript Node.js project, Vitest 0.33.0.</p>
",2,2700,2023-07-26 4:51,,3,0,how
75249035,Mock async generic method from base class,<c#><unit-testing><mocking>,"<p>I've classes similar to this:</p>
<pre><code>public class Class1
    {
        private readonly IClient _client;

        public Class1(Configuration config, CacheManager cacheManager)
        {
            _client = new Client(config, cacheManager);
        }

        protected async Task&lt;T&gt; PostAndDeserialize&lt;T&gt;(string param1, object param2)
        {
            var result = await _client.PostSomething(param1, param2);

            return JsonConvert.DeserializeObject&lt;T&gt;(await result.Content.ReadAsStringAsync());
        }
    }

    public class Class2 : Class1
    {
        public Class2(Configuration config, CacheManager cacheManager) : base(config, cacheManager)
        {
        }

        public async Task&lt;Response&gt; CreateSomething(Request request)
        {
            //do something
            var result = PostAndDeserialize&lt;Result&gt;(&quot;test&quot;, test);

            return new Response { Id = result.Id };
        }
    }
</code></pre>
<p>I need to write unit test for Class2, CreateSomething method - how do I mock PostAndDeserialize method ? I've tried and find a way to mock protected generic class from base class but I couldn't find any help with it :( Or maybe it should be done in some other way ?(I'm new to unit test). Any help is appreciated.</p>
<p>I've tried using Protected() and calling method by it's name but as it's generic method it didn't work.</p>
",1,132,2023-01-26 16:33,,1,3,how
36068260,Why is my Moq not returning null?,<c#><moq>,"<p>My Moq is returning data I don't expect.</p>

<pre><code>var artist = new Artist();
artist.Id = ""4576"";
var deserializer = Mock.Of&lt;IXmlDeserializer&lt;Album&gt;&gt;(
    d =&gt; d.Deserialize(""foo"").Artist == artist);
Assert.IsNull(deserializer.Deserialize(null));
</code></pre>

<p>The above test fails.</p>

<p>The really puzzling thing is that the mock returns a Mock but that</p>

<pre><code>Assert.AreEqual(""4576"", deserializer.Deserialize(null).Artist.Id)
</code></pre>

<p>returns true.</p>

<p>It's as if the ""default"" returned by my mock for an unspecified argument (in this case null) was somehow influenced by what I told it to return when called with ""foo"".</p>
",1,78,2016-03-17 17:57,,1,0,why
34832973,Not able to call instance_double twice,<ruby><rspec><mocking>,"<p>I'm writing a test fot rspec to check that items are added into a class that I use like an array</p>

<pre><code>    describe '#collection' do
        let(:process) {
            instance_double(""WebServerProcess"", :cpu =&gt; 33, :mem =&gt; 22, :pid =&gt; 1, :port =&gt; 8000)
        }
        it 'return the collection' do
            WebServersCollection.add process
            expect(subject.collection).to eq([process])
        end
        it 'should add with &lt;&lt;' do
            WebServersCollection &lt;&lt; process
            expect(subject.collection).to eq([process])
        end
    end
</code></pre>

<p>Show me this error</p>

<blockquote>
  <p>Failure/Error: expect(subject.collection).to eq([process])
         # was originally created in one example but has leaked into another example and can no
  longer be used. rspec-mocks' doubles are designed to only last for one
  example, and you need to create a new one in each example you wish to
  use it for.</p>
</blockquote>
",0,942,2016-01-16 22:43,,1,0,other
